iter	RMSE
0	0.02555737269
1	0.02555426027
2	0.02555163316
3	0.02554878927
4	0.02554493546
5	0.02554152451
6	0.02553796549
7	0.02553497576
8	0.02552897731
9	0.02552487482
10	0.02552129334
11	0.02551862681
12	0.02551389013
13	0.02551159383
14	0.02550723393
15	0.02550328068
16	0.02550104299
17	0.02549813731
18	0.02549672487
19	0.02549298055
20	0.0254903195
21	0.02548657746
22	0.02548003679
23	0.02547864542
24	0.02547434935
25	0.02546890838
26	0.02546627704
27	0.02546464333
28	0.02546253088
29	0.02545947864
30	0.02545934768
31	0.0254546389
32	0.02545451079
33	0.02545210413
34	0.02545008291
35	0.02544654861
36	0.02544377253
37	0.02544153201
38	0.02543920802
39	0.02543761061
40	0.02543560215
41	0.0254349679
42	0.02543283207
43	0.025431475
44	0.02542952054
45	0.0254246236
46	0.02542350793
47	0.02542105653
48	0.02541921442
49	0.02541835246
50	0.02541402068
51	0.02541131192
52	0.02541001976
53	0.02540848085
54	0.02540430816
55	0.02540125412
56	0.02539846367
57	0.02539456246
58	0.02539242159
59	0.0253911505
60	0.02538835522
61	0.02538678571
62	0.02538312889
63	0.02538171734
64	0.0253793652
65	0.02537688228
66	0.02537328575
67	0.02537042145
68	0.02536868013
69	0.02536617302
70	0.02536483722
71	0.02536337904
72	0.02536083823
73	0.0253584876
74	0.02535562313
75	0.0253514072
76	0.02534884275
77	0.02534674959
78	0.02534483394
79	0.02534158615
80	0.02533800419
81	0.02533621093
82	0.02533543863
83	0.02533133812
84	0.02533002758
85	0.02532862622
86	0.0253274502
87	0.02532381436
88	0.02531817703
89	0.02531700037
90	0.02531453122
91	0.02531101482
92	0.02531018042
93	0.0253073372
94	0.02530468232
95	0.02530346459
96	0.02530130971
97	0.02529895923
98	0.0252970866
99	0.02529662764
100	0.02529347255
101	0.02529175787
102	0.02528936328
103	0.0252873035
104	0.02528621897
105	0.02528397514
106	0.02528153799
107	0.02527985406
108	0.02527904054
109	0.0252748321
110	0.02527396771
111	0.02527318485
112	0.02527215607
113	0.02526881043
114	0.02526585538
115	0.02526301529
116	0.02526173645
117	0.02525958217
118	0.02525791073
119	0.02525616557
120	0.02525350272
